CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 204.988281 1652109609.1708
MEM 191.324219 1652109609.2711
MEM 194.160156 1652109609.3713
MEM 201.636719 1652109609.4716
MEM 205.246094 1652109609.5718
MEM 194.160156 1652109609.6721
MEM 194.160156 1652109609.7723
MEM 205.246094 1652109609.8726
MEM 205.246094 1652109609.9729
MEM 194.160156 1652109610.0731
MEM 201.378906 1652109610.1734
MEM 204.988281 1652109610.2736
MEM 204.988281 1652109610.3739
MEM 194.160156 1652109610.4741
MEM 201.378906 1652109610.5744
MEM 204.988281 1652109610.6747
MEM 200.820312 1652109610.7749
MEM 194.160156 1652109610.8752
MEM 201.378906 1652109610.9754
MEM 204.988281 1652109611.0757
MEM 194.160156 1652109611.1760
MEM 194.160156 1652109611.2762
MEM 201.636719 1652109611.3765
MEM 205.246094 1652109611.4767
MEM 193.902344 1652109611.5770
MEM 194.160156 1652109611.6773
MEM 202.667969 1652109611.7775
MEM 205.246094 1652109611.8777
MEM 194.160156 1652109611.9780
MEM 194.160156 1652109612.0782
MEM 204.988281 1652109612.1785
MEM 204.988281 1652109612.2788
MEM 194.160156 1652109612.3791
MEM 201.378906 1652109612.4794
MEM 204.988281 1652109612.5797
MEM 194.160156 1652109612.6800
MEM 194.160156 1652109612.7803
MEM 201.378906 1652109612.8806
MEM 204.988281 1652109612.9808
MEM 194.160156 1652109613.0812
MEM 194.160156 1652109613.1815
MEM 205.246094 1652109613.2818
MEM 205.246094 1652109613.3822
MEM 194.160156 1652109613.4825
MEM 201.636719 1652109613.5828
MEM 205.246094 1652109613.6831
MEM 192.613281 1652109613.7834
MEM 194.160156 1652109613.8838
MEM 201.378906 1652109613.9840
MEM 204.988281 1652109614.0844
MEM 194.160156 1652109614.1847
MEM 194.160156 1652109614.2850
MEM 204.988281 1652109614.3853
MEM 204.988281 1652109614.4856
MEM 194.160156 1652109614.5860
MEM 201.378906 1652109614.6863
MEM 204.988281 1652109614.7866
MEM 204.988281 1652109614.8869
MEM 194.160156 1652109614.9872
MEM 201.636719 1652109615.0875
MEM 205.246094 1652109615.1878
MEM 194.160156 1652109615.2882
MEM 194.160156 1652109615.3885
MEM 205.246094 1652109615.4891
MEM 205.246094 1652109615.5894
MEM 194.160156 1652109615.6898
MEM 201.378906 1652109615.7901
MEM 204.988281 1652109615.8904
MEM 204.988281 1652109615.9907
MEM 194.160156 1652109616.0910
MEM 201.378906 1652109616.1912
MEM 204.988281 1652109616.2915
MEM 194.160156 1652109616.3917
MEM 194.160156 1652109616.4920
MEM 204.988281 1652109616.5922
MEM 204.988281 1652109616.6925
MEM 194.160156 1652109616.7928
MEM 201.636719 1652109616.8930
MEM 205.246094 1652109616.9933
MEM 205.246094 1652109617.0935
MEM 194.160156 1652109617.1938
MEM 201.636719 1652109617.2941
MEM 205.246094 1652109617.3943
MEM 194.160156 1652109617.4946
MEM 194.160156 1652109617.5948
MEM 201.378906 1652109617.6950
MEM 204.988281 1652109617.7953
MEM 194.160156 1652109617.8956
MEM 194.160156 1652109617.9958
MEM 204.988281 1652109618.0961
MEM 204.988281 1652109618.1963
MEM 194.160156 1652109618.2966
MEM 201.378906 1652109618.3968
MEM 204.988281 1652109618.4971
MEM 204.988281 1652109618.5974
MEM 194.160156 1652109618.6976
MEM 201.636719 1652109618.7979
MEM 205.246094 1652109618.8981
