CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 240.503906 1652252384.0294
MEM 240.503906 1652252384.1297
MEM 260.082031 1652252384.2301
MEM 269.613281 1652252384.3304
MEM 269.613281 1652252384.4307
MEM 240.503906 1652252384.5311
MEM 260.082031 1652252384.6314
MEM 269.871094 1652252384.7318
MEM 269.871094 1652252384.8322
MEM 269.871094 1652252384.9326
MEM 240.503906 1652252385.0330
MEM 260.082031 1652252385.1333
MEM 269.613281 1652252385.2337
MEM 269.613281 1652252385.3340
MEM 240.503906 1652252385.4344
MEM 240.503906 1652252385.5348
MEM 260.082031 1652252385.6352
MEM 269.613281 1652252385.7356
MEM 269.613281 1652252385.8359
MEM 269.613281 1652252385.9363
MEM 240.503906 1652252386.0366
MEM 260.082031 1652252386.1371
MEM 269.613281 1652252386.2375
MEM 269.613281 1652252386.3378
MEM 269.613281 1652252386.4381
MEM 240.503906 1652252386.5386
MEM 260.082031 1652252386.6390
MEM 269.613281 1652252386.7394
MEM 269.613281 1652252386.8398
MEM 269.613281 1652252386.9402
MEM 240.503906 1652252387.0406
MEM 260.082031 1652252387.1410
MEM 269.871094 1652252387.2414
MEM 269.871094 1652252387.3417
MEM 269.871094 1652252387.4420
MEM 240.503906 1652252387.5425
MEM 260.082031 1652252387.6428
MEM 269.613281 1652252387.7432
MEM 269.613281 1652252387.8435
MEM 240.503906 1652252387.9460
MEM 260.082031 1652252388.0463
MEM 269.613281 1652252388.1467
MEM 269.613281 1652252388.2471
MEM 269.613281 1652252388.3474
MEM 240.503906 1652252388.4478
MEM 260.082031 1652252388.5481
MEM 262.855469 1652252388.6485
MEM 269.613281 1652252388.7489
MEM 228.914062 1652252388.8493
MEM 240.503906 1652252388.9496
MEM 260.082031 1652252389.0500
MEM 269.613281 1652252389.1503
MEM 269.613281 1652252389.2507
MEM 269.613281 1652252389.3510
MEM 240.503906 1652252389.4514
MEM 260.082031 1652252389.5517
MEM 269.871094 1652252389.6521
MEM 269.871094 1652252389.7525
MEM 269.871094 1652252389.8529
MEM 240.503906 1652252389.9533
MEM 260.082031 1652252390.0537
MEM 269.613281 1652252390.1541
MEM 269.613281 1652252390.2545
MEM 230.914062 1652252390.3548
MEM 240.503906 1652252390.4551
MEM 260.082031 1652252390.5555
MEM 269.613281 1652252390.6558
MEM 269.613281 1652252390.7562
MEM 240.503906 1652252390.8566
MEM 260.082031 1652252390.9571
MEM 260.082031 1652252391.0575
MEM 269.613281 1652252391.1578
MEM 240.503906 1652252391.2582
MEM 260.082031 1652252391.3586
MEM 260.082031 1652252391.4590
MEM 269.613281 1652252391.5595
MEM 269.613281 1652252391.6598
MEM 240.503906 1652252391.7601
MEM 260.082031 1652252391.8606
MEM 269.871094 1652252391.9609
MEM 269.871094 1652252392.0612
MEM 240.503906 1652252392.1615
MEM 240.503906 1652252392.2618
MEM 260.082031 1652252392.3622
MEM 260.082031 1652252392.4625
MEM 269.613281 1652252392.5629
MEM 269.613281 1652252392.6632
MEM 240.503906 1652252392.7635
MEM 240.503906 1652252392.8638
MEM 260.082031 1652252392.9641
MEM 269.613281 1652252393.0645
MEM 269.613281 1652252393.1648
MEM 240.503906 1652252393.2651
MEM 260.082031 1652252393.3655
MEM 266.855469 1652252393.4658
MEM 269.613281 1652252393.5662
MEM 269.613281 1652252393.6666
MEM 240.503906 1652252393.7669
MEM 260.082031 1652252393.8673
MEM 260.082031 1652252393.9676
MEM 269.613281 1652252394.0680
MEM 269.613281 1652252394.1682
MEM 240.503906 1652252394.2685
MEM 260.082031 1652252394.3688
MEM 269.871094 1652252394.4691
MEM 269.871094 1652252394.5694
MEM 238.183594 1652252394.6698
MEM 240.503906 1652252394.7701
MEM 260.082031 1652252394.8704
MEM 269.613281 1652252394.9711
MEM 269.613281 1652252395.0718
MEM 240.503906 1652252395.1721
MEM 240.503906 1652252395.2723
MEM 260.082031 1652252395.3726
MEM 269.613281 1652252395.4729
MEM 269.613281 1652252395.5732
MEM 238.183594 1652252395.6735
MEM 240.503906 1652252395.7737
MEM 260.082031 1652252395.8740
MEM 269.613281 1652252395.9743
MEM 269.613281 1652252396.0746
MEM 238.183594 1652252396.1749
MEM 240.503906 1652252396.2751
MEM 260.082031 1652252396.3754
MEM 269.613281 1652252396.4757
MEM 269.613281 1652252396.5760
MEM 236.914062 1652252396.6762
MEM 240.503906 1652252396.7765
MEM 260.082031 1652252396.8768
MEM 269.871094 1652252396.9773
MEM 269.871094 1652252397.0776
MEM 232.914062 1652252397.1780
MEM 240.503906 1652252397.2783
MEM 260.082031 1652252397.3787
MEM 269.613281 1652252397.4791
MEM 269.613281 1652252397.5795
MEM 238.183594 1652252397.6799
MEM 240.503906 1652252397.7802
MEM 260.082031 1652252397.8805
MEM 269.613281 1652252397.9809
MEM 269.613281 1652252398.0813
MEM 269.613281 1652252398.1816
MEM 240.503906 1652252398.2819
MEM 260.082031 1652252398.3823
MEM 269.613281 1652252398.4826
MEM 269.613281 1652252398.5830
MEM 239.472656 1652252398.6834
MEM 240.503906 1652252398.7837
MEM 260.082031 1652252398.8841
MEM 269.613281 1652252398.9844
MEM 269.613281 1652252399.0847
MEM 239.472656 1652252399.1851
MEM 240.503906 1652252399.2855
MEM 260.082031 1652252399.3859
MEM 269.871094 1652252399.4863
MEM 269.871094 1652252399.5866
MEM 238.957031 1652252399.6870
MEM 240.503906 1652252399.7872
MEM 260.082031 1652252399.8876
MEM 269.613281 1652252399.9880
MEM 269.613281 1652252400.0884
MEM 240.503906 1652252400.1887
MEM 240.503906 1652252400.2890
MEM 260.082031 1652252400.3915
MEM 269.613281 1652252400.4918
MEM 269.613281 1652252400.5921
MEM 240.503906 1652252400.6925
MEM 249.019531 1652252400.7929
MEM 260.082031 1652252400.8932
MEM 269.613281 1652252400.9936
MEM 269.613281 1652252401.0939
MEM 240.503906 1652252401.1943
MEM 240.503906 1652252401.2945
MEM 260.082031 1652252401.3949
MEM 269.613281 1652252401.4951
MEM 269.613281 1652252401.5954
MEM 240.503906 1652252401.6957
MEM 240.503906 1652252401.7960
