CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Malaria.py
MEM 326.851562 1652244345.1084
MEM 338.886719 1652244345.2088
MEM 357.671875 1652244345.3092
MEM 372.960938 1652244345.4096
MEM 322.851562 1652244345.5101
MEM 357.671875 1652244345.6105
MEM 372.960938 1652244345.7110
MEM 372.960938 1652244345.8114
MEM 326.851562 1652244345.9119
MEM 342.152344 1652244346.0122
MEM 357.671875 1652244346.1126
MEM 372.960938 1652244346.2130
MEM 314.851562 1652244346.3133
MEM 326.851562 1652244346.4137
MEM 357.414062 1652244346.5140
MEM 372.742188 1652244346.6144
MEM 372.742188 1652244346.7147
MEM 326.851562 1652244346.8151
MEM 357.671875 1652244346.9155
MEM 372.960938 1652244347.0158
MEM 372.960938 1652244347.1162
MEM 326.851562 1652244347.2166
MEM 326.851562 1652244347.3169
MEM 357.671875 1652244347.4173
MEM 372.960938 1652244347.5178
MEM 372.960938 1652244347.6182
MEM 311.824219 1652244347.7186
MEM 326.851562 1652244347.8190
MEM 357.671875 1652244347.9194
MEM 372.960938 1652244348.0198
MEM 372.960938 1652244348.1202
MEM 326.851562 1652244348.2206
MEM 357.671875 1652244348.3211
MEM 372.960938 1652244348.4215
MEM 372.960938 1652244348.5219
MEM 326.851562 1652244348.6223
MEM 357.414062 1652244348.7227
MEM 372.742188 1652244348.8230
MEM 372.742188 1652244348.9233
MEM 372.742188 1652244349.0236
MEM 322.851562 1652244349.1246
MEM 357.671875 1652244349.2249
MEM 372.960938 1652244349.3253
MEM 372.960938 1652244349.4256
MEM 326.851562 1652244349.5259
MEM 357.671875 1652244349.6263
MEM 372.960938 1652244349.7267
MEM 372.960938 1652244349.8271
MEM 322.851562 1652244349.9275
MEM 326.851562 1652244350.0279
MEM 357.671875 1652244350.1283
MEM 372.960938 1652244350.2287
MEM 372.960938 1652244350.3291
MEM 326.851562 1652244350.4295
MEM 357.671875 1652244350.5299
MEM 372.960938 1652244350.6303
MEM 372.960938 1652244350.7307
MEM 326.851562 1652244350.8311
MEM 357.414062 1652244350.9315
MEM 372.742188 1652244351.0319
MEM 372.742188 1652244351.1324
MEM 326.851562 1652244351.2328
MEM 357.671875 1652244351.3333
MEM 372.960938 1652244351.4338
MEM 372.960938 1652244351.5344
MEM 372.960938 1652244351.6348
MEM 343.976562 1652244351.7351
MEM 326.851562 1652244351.8355
MEM 357.671875 1652244351.9359
MEM 372.960938 1652244352.0362
MEM 372.960938 1652244352.1372
MEM 318.851562 1652244352.2377
MEM 326.851562 1652244352.3381
MEM 357.671875 1652244352.4385
MEM 372.960938 1652244352.5389
MEM 372.960938 1652244352.6393
MEM 326.851562 1652244352.7397
MEM 357.671875 1652244352.8401
MEM 372.960938 1652244352.9406
MEM 372.960938 1652244353.0410
MEM 326.851562 1652244353.1415
MEM 357.414062 1652244353.2419
MEM 372.742188 1652244353.3423
MEM 372.742188 1652244353.4427
MEM 311.824219 1652244353.5431
MEM 326.851562 1652244353.6434
MEM 357.671875 1652244353.7438
MEM 372.960938 1652244353.8443
MEM 372.960938 1652244353.9446
MEM 326.851562 1652244354.0449
MEM 357.671875 1652244354.1453
MEM 372.960938 1652244354.2457
MEM 372.960938 1652244354.3473
MEM 326.851562 1652244354.4476
MEM 342.410156 1652244354.5480
MEM 357.671875 1652244354.6484
MEM 372.960938 1652244354.7487
MEM 326.851562 1652244354.8490
MEM 342.152344 1652244354.9494
MEM 357.671875 1652244355.0498
MEM 372.960938 1652244355.1501
MEM 372.960938 1652244355.2505
MEM 326.851562 1652244355.3507
MEM 357.414062 1652244355.4512
MEM 372.742188 1652244355.5517
MEM 372.742188 1652244355.6521
MEM 372.742188 1652244355.7525
MEM 326.851562 1652244355.8550
MEM 357.671875 1652244355.9555
MEM 372.960938 1652244356.0559
MEM 372.960938 1652244356.1564
MEM 372.960938 1652244356.2569
MEM 326.851562 1652244356.3572
MEM 357.671875 1652244356.4576
MEM 372.960938 1652244356.5579
MEM 372.960938 1652244356.6583
MEM 326.851562 1652244356.7586
MEM 342.152344 1652244356.8590
MEM 357.671875 1652244356.9593
MEM 372.960938 1652244357.0597
MEM 316.851562 1652244357.1600
MEM 326.851562 1652244357.2604
MEM 357.671875 1652244357.3608
MEM 372.960938 1652244357.4611
MEM 314.851562 1652244357.5614
MEM 326.851562 1652244357.6619
MEM 357.414062 1652244357.7623
MEM 372.742188 1652244357.8627
MEM 372.742188 1652244357.9630
MEM 326.851562 1652244358.0633
MEM 357.671875 1652244358.1637
MEM 372.960938 1652244358.2640
MEM 372.960938 1652244358.3644
MEM 326.851562 1652244358.4662
MEM 332.886719 1652244358.5666
MEM 360.960938 1652244358.6670
MEM 372.960938 1652244358.7674
MEM 312.851562 1652244358.8678
MEM 326.851562 1652244358.9682
MEM 357.671875 1652244359.0685
MEM 372.960938 1652244359.1689
MEM 372.960938 1652244359.2693
MEM 326.851562 1652244359.3697
MEM 357.671875 1652244359.4701
MEM 372.960938 1652244359.5706
MEM 372.960938 1652244359.6710
MEM 322.851562 1652244359.7714
MEM 326.851562 1652244359.8717
MEM 357.414062 1652244359.9721
MEM 372.742188 1652244360.0725
MEM 372.742188 1652244360.1728
MEM 326.851562 1652244360.2732
MEM 357.671875 1652244360.3790
MEM 372.960938 1652244360.4794
MEM 372.960938 1652244360.5823
MEM 372.960938 1652244360.6827
MEM 326.851562 1652244360.7832
MEM 357.671875 1652244360.8836
MEM 372.960938 1652244360.9841
MEM 372.960938 1652244361.0885
MEM 372.960938 1652244361.1889
MEM 312.593750 1652244361.2893
MEM 326.851562 1652244361.3897
MEM 357.671875 1652244361.4902
MEM 372.960938 1652244361.5906
MEM 372.960938 1652244361.6911
MEM 326.851562 1652244361.7915
MEM 357.671875 1652244361.8918
MEM 372.960938 1652244361.9923
MEM 372.960938 1652244362.0927
MEM 326.851562 1652244362.1931
MEM 342.152344 1652244362.2935
MEM 358.187500 1652244362.3939
MEM 372.742188 1652244362.4943
MEM 324.851562 1652244362.5946
MEM 334.886719 1652244362.6950
MEM 357.671875 1652244362.7954
MEM 372.960938 1652244362.8959
MEM 372.960938 1652244362.9962
MEM 326.851562 1652244363.0966
MEM 357.671875 1652244363.1970
MEM 372.960938 1652244363.2973
MEM 372.960938 1652244363.4016
MEM 326.851562 1652244363.5019
MEM 357.414062 1652244363.6023
MEM 372.960938 1652244363.7027
MEM 372.960938 1652244363.8030
MEM 318.851562 1652244363.9034
MEM 326.851562 1652244364.0037
MEM 357.671875 1652244364.1040
MEM 372.960938 1652244364.2046
MEM 372.960938 1652244364.3050
MEM 326.851562 1652244364.4054
MEM 357.414062 1652244364.5060
MEM 372.742188 1652244364.6065
MEM 372.742188 1652244364.7069
MEM 372.742188 1652244364.8072
MEM 324.851562 1652244364.9076
MEM 326.851562 1652244365.0080
MEM 362.960938 1652244365.1083
MEM 372.960938 1652244365.2087
MEM 318.851562 1652244365.3091
MEM 326.851562 1652244365.4094
MEM 357.929688 1652244365.5098
MEM 372.960938 1652244365.6102
MEM 326.851562 1652244365.7107
MEM 357.671875 1652244365.8111
MEM 372.960938 1652244365.9115
MEM 312.851562 1652244366.0119
MEM 326.851562 1652244366.1137
MEM 357.671875 1652244366.2141
MEM 372.960938 1652244366.3144
MEM 372.960938 1652244366.4148
MEM 326.851562 1652244366.5151
MEM 357.414062 1652244366.6156
MEM 372.742188 1652244366.7161
MEM 372.742188 1652244366.8165
MEM 326.851562 1652244366.9193
MEM 357.671875 1652244367.0197
MEM 372.960938 1652244367.1201
MEM 372.960938 1652244367.2204
MEM 326.851562 1652244367.3208
MEM 336.886719 1652244367.4211
MEM 357.671875 1652244367.5215
MEM 372.960938 1652244367.6219
MEM 372.960938 1652244367.7223
MEM 326.851562 1652244367.8226
MEM 357.671875 1652244367.9230
MEM 372.960938 1652244368.0234
MEM 372.960938 1652244368.1238
MEM 324.851562 1652244368.2241
MEM 326.851562 1652244368.3245
MEM 357.671875 1652244368.4250
MEM 372.960938 1652244368.5254
MEM 372.960938 1652244368.6260
MEM 326.851562 1652244368.7263
MEM 357.414062 1652244368.8268
MEM 362.960938 1652244368.9272
MEM 372.742188 1652244369.0276
MEM 372.742188 1652244369.1280
MEM 326.851562 1652244369.2336
MEM 357.671875 1652244369.3340
MEM 372.960938 1652244369.4343
MEM 372.960938 1652244369.5348
MEM 326.851562 1652244369.6352
MEM 357.671875 1652244369.7355
MEM 372.960938 1652244369.8359
MEM 372.960938 1652244369.9362
MEM 326.851562 1652244370.0366
MEM 357.671875 1652244370.1370
MEM 372.960938 1652244370.2375
MEM 372.960938 1652244370.3378
MEM 322.851562 1652244370.4428
MEM 326.851562 1652244370.5431
MEM 357.671875 1652244370.6435
MEM 372.960938 1652244370.7439
MEM 372.960938 1652244370.8442
MEM 326.851562 1652244370.9445
MEM 357.414062 1652244371.0449
MEM 372.742188 1652244371.1453
MEM 326.851562 1652244371.2456
MEM 341.894531 1652244371.3460
MEM 357.671875 1652244371.4465
MEM 372.960938 1652244371.5468
MEM 311.824219 1652244371.6472
MEM 326.851562 1652244371.7475
MEM 357.671875 1652244371.8479
MEM 372.960938 1652244371.9494
MEM 372.960938 1652244372.0499
MEM 356.925781 1652244372.1503
MEM 357.671875 1652244372.2507
MEM 372.960938 1652244372.3511
MEM 326.851562 1652244372.4515
MEM 326.851562 1652244372.5519
MEM 357.671875 1652244372.6523
MEM 372.960938 1652244372.7533
MEM 372.960938 1652244372.8538
MEM 326.851562 1652244372.9551
MEM 354.925781 1652244373.0555
MEM 368.960938 1652244373.1560
MEM 372.742188 1652244373.2565
MEM 372.742188 1652244373.3570
MEM 326.851562 1652244373.4574
MEM 357.671875 1652244373.5578
MEM 372.960938 1652244373.6582
MEM 372.960938 1652244373.7585
MEM 326.851562 1652244373.8589
MEM 357.671875 1652244373.9593
MEM 372.960938 1652244374.0597
MEM 372.960938 1652244374.1601
MEM 372.960938 1652244374.2604
MEM 326.851562 1652244374.3609
MEM 357.671875 1652244374.4613
MEM 372.960938 1652244374.5617
MEM 372.960938 1652244374.6621
MEM 326.851562 1652244374.7624
MEM 357.671875 1652244374.8628
MEM 372.960938 1652244374.9633
MEM 372.960938 1652244375.0637
MEM 326.851562 1652244375.1641
MEM 326.851562 1652244375.2645
MEM 357.414062 1652244375.3648
MEM 372.742188 1652244375.4651
MEM 372.742188 1652244375.5654
MEM 326.851562 1652244375.6658
MEM 357.671875 1652244375.7662
MEM 372.960938 1652244375.8665
MEM 372.960938 1652244375.9668
MEM 316.851562 1652244376.0685
MEM 326.851562 1652244376.1689
MEM 357.671875 1652244376.2694
MEM 372.960938 1652244376.3699
MEM 372.960938 1652244376.4703
MEM 326.851562 1652244376.5707
MEM 357.671875 1652244376.6711
MEM 372.960938 1652244376.7715
MEM 372.960938 1652244376.8719
MEM 318.851562 1652244376.9751
MEM 326.851562 1652244377.0755
MEM 357.671875 1652244377.1759
MEM 372.960938 1652244377.2763
MEM 372.960938 1652244377.3767
MEM 326.851562 1652244377.4771
MEM 357.414062 1652244377.5776
MEM 372.742188 1652244377.6780
MEM 372.742188 1652244377.7784
MEM 311.824219 1652244377.8788
MEM 326.851562 1652244377.9792
MEM 357.671875 1652244378.0795
MEM 372.960938 1652244378.1800
MEM 372.960938 1652244378.2803
MEM 326.851562 1652244378.3807
MEM 357.671875 1652244378.4811
MEM 372.960938 1652244378.5815
