CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 370.347656 1652243486.4943
MEM 324.238281 1652243486.5947
MEM 355.019531 1652243486.6951
MEM 370.347656 1652243486.7956
MEM 370.347656 1652243486.9094
MEM 324.238281 1652243487.0098
MEM 355.019531 1652243487.1103
MEM 364.308594 1652243487.2107
MEM 370.347656 1652243487.3152
MEM 312.457031 1652243487.4157
MEM 324.238281 1652243487.5165
MEM 355.019531 1652243487.6169
MEM 370.347656 1652243487.7174
MEM 370.347656 1652243487.8178
MEM 309.171875 1652243487.9183
MEM 324.238281 1652243488.0190
MEM 354.761719 1652243488.1194
MEM 370.089844 1652243488.2199
MEM 370.089844 1652243488.3202
MEM 324.238281 1652243488.4206
MEM 355.019531 1652243488.5210
MEM 370.347656 1652243488.6214
MEM 370.347656 1652243488.7218
MEM 310.457031 1652243488.8223
MEM 324.238281 1652243488.9246
MEM 355.019531 1652243489.0250
MEM 370.347656 1652243489.1254
MEM 370.347656 1652243489.2258
MEM 324.238281 1652243489.3262
MEM 355.019531 1652243489.4266
MEM 370.347656 1652243489.5270
MEM 370.347656 1652243489.6297
MEM 320.457031 1652243489.7301
MEM 355.019531 1652243489.8304
MEM 369.574219 1652243489.9308
MEM 370.347656 1652243490.0312
MEM 314.457031 1652243490.1316
MEM 354.761719 1652243490.2321
MEM 370.089844 1652243490.3325
MEM 370.089844 1652243490.4329
MEM 316.457031 1652243490.5334
MEM 324.238281 1652243490.6338
MEM 355.019531 1652243490.7342
MEM 370.347656 1652243490.8346
MEM 370.347656 1652243490.9349
MEM 324.238281 1652243491.0353
MEM 355.019531 1652243491.1358
MEM 370.347656 1652243491.2363
MEM 370.347656 1652243491.3384
MEM 324.238281 1652243491.4389
MEM 355.019531 1652243491.5392
MEM 370.347656 1652243491.6395
MEM 370.347656 1652243491.7399
MEM 324.238281 1652243491.8404
MEM 324.238281 1652243491.9408
MEM 362.308594 1652243492.0412
MEM 370.347656 1652243492.1417
MEM 314.457031 1652243492.2422
MEM 324.238281 1652243492.3426
MEM 354.761719 1652243492.4431
MEM 370.089844 1652243492.5435
MEM 370.089844 1652243492.6439
MEM 324.238281 1652243492.7443
MEM 355.019531 1652243492.8460
MEM 370.347656 1652243492.9464
MEM 370.347656 1652243493.0468
MEM 370.347656 1652243493.1472
MEM 324.238281 1652243493.2476
MEM 355.019531 1652243493.3481
MEM 370.347656 1652243493.4485
MEM 370.347656 1652243493.5489
MEM 370.347656 1652243493.6493
MEM 324.238281 1652243493.7497
MEM 355.019531 1652243493.8502
MEM 370.347656 1652243493.9505
MEM 370.347656 1652243494.0509
MEM 312.457031 1652243494.1513
MEM 324.238281 1652243494.2518
MEM 355.019531 1652243494.3522
MEM 370.347656 1652243494.4526
MEM 370.347656 1652243494.5529
MEM 324.238281 1652243494.6533
MEM 354.761719 1652243494.7537
MEM 370.089844 1652243494.8543
MEM 370.089844 1652243494.9547
MEM 324.238281 1652243495.0551
MEM 334.496094 1652243495.1554
MEM 355.019531 1652243495.2558
MEM 370.347656 1652243495.3562
MEM 370.347656 1652243495.4565
MEM 322.691406 1652243495.5569
MEM 324.238281 1652243495.6572
MEM 355.019531 1652243495.7576
MEM 370.347656 1652243495.8581
MEM 309.683594 1652243495.9585
MEM 324.238281 1652243496.0589
MEM 355.019531 1652243496.1592
MEM 370.347656 1652243496.2596
MEM 370.347656 1652243496.3618
MEM 324.238281 1652243496.4623
MEM 355.019531 1652243496.5626
MEM 370.347656 1652243496.6631
