CMDLINE /usr/bin/python3 scripts/tSNE-RF-TARA.py
MEM 253.378906 1652255592.9256
MEM 253.378906 1652255593.0259
MEM 253.378906 1652255593.1261
MEM 253.378906 1652255593.2264
MEM 253.378906 1652255593.3267
MEM 253.378906 1652255593.4271
MEM 253.378906 1652255593.5275
MEM 253.378906 1652255593.6278
MEM 253.378906 1652255593.7281
MEM 253.378906 1652255593.8284
MEM 253.378906 1652255593.9287
MEM 253.378906 1652255594.0289
MEM 253.378906 1652255594.1293
MEM 253.378906 1652255594.2296
MEM 253.378906 1652255594.3310
MEM 253.378906 1652255594.4313
MEM 253.378906 1652255594.5316
MEM 253.378906 1652255594.6318
MEM 253.378906 1652255594.7322
MEM 253.378906 1652255594.8326
MEM 253.378906 1652255594.9330
MEM 253.378906 1652255595.0333
MEM 253.378906 1652255595.1336
MEM 253.378906 1652255595.2356
MEM 253.378906 1652255595.3360
MEM 253.378906 1652255595.4395
MEM 253.378906 1652255595.5398
MEM 253.378906 1652255595.6401
MEM 253.378906 1652255595.7404
MEM 253.378906 1652255595.8407
MEM 253.378906 1652255595.9410
MEM 253.378906 1652255596.0414
MEM 253.378906 1652255596.1418
MEM 253.378906 1652255596.2421
MEM 253.378906 1652255596.3424
MEM 253.378906 1652255596.4427
MEM 253.378906 1652255596.5430
MEM 253.378906 1652255596.6434
MEM 253.378906 1652255596.7438
MEM 253.378906 1652255596.8441
MEM 253.378906 1652255596.9444
MEM 253.378906 1652255597.0447
MEM 253.378906 1652255597.1451
MEM 253.378906 1652255597.2454
MEM 253.378906 1652255597.3458
MEM 253.378906 1652255597.4462
MEM 253.378906 1652255597.5465
MEM 253.378906 1652255597.6468
MEM 253.378906 1652255597.7471
MEM 253.378906 1652255597.8488
MEM 253.378906 1652255597.9491
MEM 253.378906 1652255598.0494
MEM 253.378906 1652255598.1497
MEM 253.378906 1652255598.2499
MEM 253.378906 1652255598.3502
MEM 253.378906 1652255598.4505
MEM 253.378906 1652255598.5508
MEM 253.378906 1652255598.6511
MEM 253.378906 1652255598.7514
MEM 253.378906 1652255598.8516
MEM 253.378906 1652255598.9519
MEM 253.378906 1652255599.0522
MEM 253.378906 1652255599.1524
MEM 253.378906 1652255599.2527
MEM 253.378906 1652255599.3530
MEM 253.378906 1652255599.4532
MEM 253.378906 1652255599.5545
MEM 253.378906 1652255599.6548
MEM 253.378906 1652255599.7550
MEM 253.378906 1652255599.8553
MEM 253.378906 1652255599.9556
MEM 253.378906 1652255600.0579
MEM 253.378906 1652255600.1592
MEM 253.378906 1652255600.2595
MEM 253.378906 1652255600.3598
MEM 253.378906 1652255600.4600
MEM 253.378906 1652255600.5603
MEM 253.378906 1652255600.6605
MEM 253.378906 1652255600.7608
MEM 253.378906 1652255600.8610
MEM 253.378906 1652255600.9613
MEM 253.378906 1652255601.0616
MEM 253.378906 1652255601.1619
MEM 253.378906 1652255601.2621
MEM 253.378906 1652255601.3624
MEM 253.378906 1652255601.4626
MEM 253.378906 1652255601.5629
MEM 253.378906 1652255601.6632
MEM 253.378906 1652255601.7634
MEM 253.378906 1652255601.8637
MEM 253.378906 1652255601.9640
MEM 253.378906 1652255602.0643
MEM 253.378906 1652255602.1646
MEM 253.378906 1652255602.2650
MEM 253.378906 1652255602.3660
MEM 253.378906 1652255602.4663
MEM 253.378906 1652255602.5666
MEM 253.378906 1652255602.6668
MEM 253.378906 1652255602.7671
MEM 253.378906 1652255602.8674
MEM 253.378906 1652255602.9705
MEM 253.378906 1652255603.0709
MEM 253.378906 1652255603.1711
MEM 253.378906 1652255603.2714
MEM 253.378906 1652255603.3733
MEM 253.378906 1652255603.4751
MEM 253.378906 1652255603.5754
MEM 253.378906 1652255603.6758
MEM 253.378906 1652255603.7760
MEM 253.378906 1652255603.8763
MEM 253.378906 1652255603.9766
MEM 253.378906 1652255604.0769
MEM 253.378906 1652255604.1773
MEM 253.378906 1652255604.2800
MEM 253.378906 1652255604.3803
MEM 253.378906 1652255604.4806
MEM 253.378906 1652255604.5814
MEM 253.378906 1652255604.6817
MEM 253.378906 1652255604.7839
MEM 253.378906 1652255604.8842
MEM 253.378906 1652255604.9846
MEM 253.378906 1652255605.0849
MEM 253.378906 1652255605.1852
MEM 253.378906 1652255605.2855
MEM 253.378906 1652255605.3891
MEM 253.378906 1652255605.4894
MEM 253.378906 1652255605.5902
MEM 253.378906 1652255605.6906
MEM 253.378906 1652255605.7909
MEM 253.378906 1652255605.8911
MEM 253.378906 1652255605.9914
MEM 253.378906 1652255606.0917
MEM 253.378906 1652255606.1920
MEM 253.378906 1652255606.2924
MEM 253.378906 1652255606.3927
MEM 253.378906 1652255606.4930
MEM 253.378906 1652255606.5947
MEM 253.378906 1652255606.6950
MEM 253.378906 1652255606.7954
MEM 253.378906 1652255606.8958
MEM 253.378906 1652255606.9961
