CMDLINE /usr/bin/python3 scripts/tSNE-SVM-TARA.py
MEM 248.195312 1652297131.1836
MEM 248.195312 1652297131.2840
MEM 248.195312 1652297131.3844
MEM 248.195312 1652297131.4848
MEM 248.195312 1652297131.5852
MEM 248.195312 1652297131.6856
MEM 248.195312 1652297131.7861
MEM 248.195312 1652297131.8864
MEM 248.195312 1652297131.9869
MEM 248.195312 1652297132.0873
MEM 248.195312 1652297132.1877
MEM 248.195312 1652297132.2880
MEM 248.195312 1652297132.3885
MEM 248.195312 1652297132.4890
MEM 248.195312 1652297132.5894
MEM 248.195312 1652297132.6898
MEM 248.195312 1652297132.7902
MEM 248.195312 1652297132.8906
MEM 248.195312 1652297132.9910
MEM 248.195312 1652297133.0914
MEM 248.195312 1652297133.1918
MEM 248.195312 1652297133.2923
MEM 248.195312 1652297133.3927
MEM 248.195312 1652297133.4931
MEM 248.195312 1652297133.5936
MEM 248.195312 1652297133.6940
MEM 248.195312 1652297133.7944
MEM 248.195312 1652297133.8948
MEM 248.195312 1652297133.9952
MEM 248.195312 1652297134.0957
MEM 248.195312 1652297134.1961
MEM 248.195312 1652297134.2965
MEM 248.195312 1652297134.3970
MEM 248.195312 1652297134.4975
MEM 248.195312 1652297134.5979
MEM 248.195312 1652297134.6983
MEM 248.195312 1652297134.7987
MEM 248.195312 1652297134.8991
MEM 248.195312 1652297134.9995
MEM 248.195312 1652297135.1000
MEM 248.195312 1652297135.2003
MEM 248.195312 1652297135.3007
MEM 248.195312 1652297135.4011
MEM 248.195312 1652297135.5014
MEM 248.195312 1652297135.6019
MEM 248.195312 1652297135.7023
MEM 248.195312 1652297135.8026
MEM 248.195312 1652297135.9031
MEM 248.195312 1652297136.0035
MEM 248.195312 1652297136.1039
MEM 248.195312 1652297136.2044
MEM 248.195312 1652297136.3048
MEM 248.195312 1652297136.4052
MEM 248.195312 1652297136.5056
MEM 248.195312 1652297136.6060
MEM 248.195312 1652297136.7064
MEM 248.195312 1652297136.8069
MEM 248.195312 1652297136.9072
MEM 248.195312 1652297137.0076
MEM 248.195312 1652297137.1080
MEM 248.195312 1652297137.2085
MEM 248.195312 1652297137.3089
MEM 248.195312 1652297137.4093
MEM 248.195312 1652297137.5097
MEM 248.195312 1652297137.6102
MEM 248.195312 1652297137.7106
MEM 248.195312 1652297137.8111
MEM 248.195312 1652297137.9115
MEM 248.195312 1652297138.0119
MEM 248.195312 1652297138.1123
MEM 248.195312 1652297138.2127
MEM 248.195312 1652297138.3132
MEM 248.195312 1652297138.4136
MEM 248.195312 1652297138.5139
MEM 248.195312 1652297138.6143
MEM 248.195312 1652297138.7147
MEM 248.195312 1652297138.8152
MEM 248.195312 1652297138.9156
MEM 248.195312 1652297139.0160
MEM 248.195312 1652297139.1164
MEM 248.195312 1652297139.2168
MEM 248.195312 1652297139.3173
MEM 248.195312 1652297139.4177
MEM 248.195312 1652297139.5180
MEM 248.195312 1652297139.6185
MEM 248.195312 1652297139.7188
MEM 248.195312 1652297139.8192
MEM 248.195312 1652297139.9196
MEM 248.195312 1652297140.0200
MEM 248.195312 1652297140.1204
MEM 248.195312 1652297140.2208
MEM 248.195312 1652297140.3212
MEM 248.195312 1652297140.4216
MEM 248.195312 1652297140.5220
MEM 248.195312 1652297140.6224
MEM 248.195312 1652297140.7228
MEM 248.195312 1652297140.8232
MEM 248.195312 1652297140.9236
MEM 248.195312 1652297141.0241
MEM 248.195312 1652297141.1245
MEM 248.195312 1652297141.2248
MEM 248.195312 1652297141.3252
MEM 248.195312 1652297141.4256
MEM 248.195312 1652297141.5259
MEM 248.195312 1652297141.6263
MEM 248.195312 1652297141.7267
MEM 248.195312 1652297141.8272
MEM 248.195312 1652297141.9275
MEM 248.195312 1652297142.0279
MEM 248.195312 1652297142.1283
MEM 248.195312 1652297142.2287
MEM 248.195312 1652297142.3291
MEM 248.195312 1652297142.4295
MEM 248.195312 1652297142.5299
MEM 248.195312 1652297142.6303
MEM 248.195312 1652297142.7308
MEM 248.195312 1652297142.8312
MEM 248.195312 1652297142.9316
MEM 248.195312 1652297143.0320
MEM 248.195312 1652297143.1324
MEM 248.195312 1652297143.2328
MEM 248.195312 1652297143.3331
MEM 248.195312 1652297143.4335
MEM 248.195312 1652297143.5339
MEM 248.195312 1652297143.6343
MEM 248.195312 1652297143.7348
MEM 248.195312 1652297143.8352
MEM 248.195312 1652297143.9355
MEM 248.195312 1652297144.0359
MEM 248.195312 1652297144.1363
MEM 248.195312 1652297144.2367
MEM 248.195312 1652297144.3371
MEM 248.195312 1652297144.4375
MEM 248.195312 1652297144.5379
MEM 248.195312 1652297144.6383
MEM 248.195312 1652297144.7387
MEM 248.195312 1652297144.8392
MEM 248.195312 1652297144.9396
MEM 248.195312 1652297145.0400
MEM 248.195312 1652297145.1404
MEM 248.195312 1652297145.2408
MEM 248.195312 1652297145.3412
MEM 248.195312 1652297145.4416
MEM 248.195312 1652297145.5421
MEM 248.195312 1652297145.6425
MEM 248.195312 1652297145.7429
MEM 248.195312 1652297145.8432
MEM 248.195312 1652297145.9436
MEM 248.195312 1652297146.0441
MEM 248.195312 1652297146.1445
MEM 248.195312 1652297146.2450
MEM 248.195312 1652297146.3453
MEM 248.195312 1652297146.4457
MEM 248.195312 1652297146.5462
MEM 248.195312 1652297146.6466
MEM 248.195312 1652297146.7470
MEM 248.195312 1652297146.8474
MEM 248.195312 1652297146.9478
MEM 248.195312 1652297147.0495
MEM 248.195312 1652297147.1498
MEM 248.195312 1652297147.2501
MEM 248.195312 1652297147.3504
MEM 248.195312 1652297147.4508
MEM 248.195312 1652297147.5512
MEM 248.195312 1652297147.6515
MEM 248.195312 1652297147.7518
MEM 248.195312 1652297147.8522
MEM 248.195312 1652297147.9526
MEM 248.195312 1652297148.0529
MEM 248.195312 1652297148.1533
MEM 248.195312 1652297148.2536
MEM 248.195312 1652297148.3540
MEM 248.195312 1652297148.4543
MEM 248.195312 1652297148.5546
MEM 248.195312 1652297148.6550
MEM 248.195312 1652297148.7554
MEM 248.195312 1652297148.8557
MEM 248.195312 1652297148.9560
MEM 248.195312 1652297149.0564
MEM 248.195312 1652297149.1568
MEM 248.195312 1652297149.2573
MEM 248.195312 1652297149.3576
MEM 248.195312 1652297149.4581
MEM 248.195312 1652297149.5585
MEM 248.195312 1652297149.6591
MEM 248.195312 1652297149.7594
MEM 248.195312 1652297149.8617
MEM 248.195312 1652297149.9621
MEM 248.195312 1652297150.0624
MEM 248.195312 1652297150.1628
MEM 248.195312 1652297150.2632
MEM 248.195312 1652297150.3635
MEM 248.195312 1652297150.4638
MEM 248.195312 1652297150.5642
MEM 248.195312 1652297150.6645
MEM 248.195312 1652297150.7649
MEM 248.195312 1652297150.8652
MEM 248.195312 1652297150.9656
MEM 248.195312 1652297151.0659
MEM 248.195312 1652297151.1663
MEM 248.195312 1652297151.2667
MEM 248.195312 1652297151.3670
MEM 248.195312 1652297151.4676
MEM 248.195312 1652297151.5680
MEM 248.195312 1652297151.6683
MEM 248.195312 1652297151.7687
MEM 248.195312 1652297151.8690
MEM 248.195312 1652297151.9694
MEM 248.195312 1652297152.0698
MEM 248.195312 1652297152.1702
MEM 248.195312 1652297152.2705
MEM 248.195312 1652297152.3710
MEM 248.195312 1652297152.4714
MEM 248.195312 1652297152.5718
MEM 248.195312 1652297152.6721
MEM 248.195312 1652297152.7724
MEM 248.195312 1652297152.8728
MEM 248.195312 1652297152.9731
MEM 248.195312 1652297153.0735
MEM 248.195312 1652297153.1739
MEM 248.195312 1652297153.2742
MEM 248.195312 1652297153.3746
MEM 248.195312 1652297153.4750
MEM 248.195312 1652297153.5753
MEM 248.195312 1652297153.6757
MEM 248.195312 1652297153.7760
MEM 248.195312 1652297153.8763
MEM 248.195312 1652297153.9766
MEM 248.195312 1652297154.0770
