CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 1301.667969 1652240750.9415
MEM 1302.179688 1652240751.0419
MEM 1302.179688 1652240751.1423
MEM 1303.464844 1652240751.2427
MEM 1312.554688 1652240751.3430
MEM 1317.351562 1652240751.4434
MEM 1320.671875 1652240751.5438
MEM 1309.699219 1652240751.6442
MEM 1309.699219 1652240751.7446
MEM 1309.699219 1652240751.8449
MEM 1309.699219 1652240751.9453
MEM 1309.699219 1652240752.0457
MEM 1309.679688 1652240752.1460
MEM 1309.679688 1652240752.2463
MEM 1309.679688 1652240752.3467
MEM 1309.679688 1652240752.4470
MEM 1309.679688 1652240752.5474
MEM 1309.679688 1652240752.6478
MEM 1309.679688 1652240752.7482
MEM 1309.679688 1652240752.8486
MEM 1309.679688 1652240752.9490
MEM 1309.679688 1652240753.0494
MEM 1326.902344 1652240753.1498
MEM 1326.902344 1652240753.2502
MEM 1326.902344 1652240753.3506
MEM 1326.902344 1652240753.4510
MEM 1326.902344 1652240753.5514
MEM 1326.902344 1652240753.6518
MEM 1326.902344 1652240753.7521
MEM 1326.902344 1652240753.8525
MEM 1327.414062 1652240753.9529
MEM 1327.199219 1652240754.0533
MEM 1329.644531 1652240754.1537
MEM 1329.660156 1652240754.2542
MEM 1329.632812 1652240754.3546
MEM 1331.625000 1652240754.4551
MEM 1316.921875 1652240754.5555
MEM 1316.921875 1652240754.6559
MEM 1316.921875 1652240754.7562
MEM 1316.921875 1652240754.8566
MEM 1316.921875 1652240754.9569
MEM 1316.898438 1652240755.0573
MEM 1316.898438 1652240755.1577
MEM 1316.898438 1652240755.2580
MEM 1316.898438 1652240755.3583
MEM 1316.898438 1652240755.4586
MEM 1316.898438 1652240755.5590
MEM 1316.898438 1652240755.6592
MEM 1316.898438 1652240755.7595
MEM 1316.898438 1652240755.8598
MEM 1316.898438 1652240755.9601
MEM 1335.441406 1652240756.0604
MEM 1335.441406 1652240756.1607
MEM 1335.441406 1652240756.2610
MEM 1335.441406 1652240756.3614
MEM 1335.441406 1652240756.4617
MEM 1335.441406 1652240756.5621
MEM 1335.441406 1652240756.6625
MEM 1335.441406 1652240756.7629
MEM 1335.953125 1652240756.8632
MEM 1335.953125 1652240756.9636
MEM 1341.472656 1652240757.0640
MEM 1341.445312 1652240757.1644
MEM 1343.210938 1652240757.2648
MEM 1343.187500 1652240757.3653
MEM 1343.531250 1652240757.4658
MEM 1343.531250 1652240757.5663
MEM 1343.531250 1652240757.6667
MEM 1343.531250 1652240757.7671
MEM 1343.535156 1652240757.8675
MEM 1343.722656 1652240757.9679
MEM 1343.722656 1652240758.0683
MEM 1343.722656 1652240758.1687
MEM 1343.722656 1652240758.2691
MEM 1343.722656 1652240758.3695
MEM 1343.722656 1652240758.4699
MEM 1343.722656 1652240758.5704
MEM 1343.722656 1652240758.6709
MEM 1343.722656 1652240758.7712
MEM 1343.722656 1652240758.8716
MEM 1363.023438 1652240758.9721
MEM 1363.023438 1652240759.0725
MEM 1363.023438 1652240759.1730
MEM 1363.023438 1652240759.2734
MEM 1363.023438 1652240759.3739
MEM 1363.023438 1652240759.4743
MEM 1363.023438 1652240759.5748
MEM 1363.023438 1652240759.6752
MEM 1363.023438 1652240759.7756
MEM 1363.535156 1652240759.8760
MEM 1363.535156 1652240759.9764
MEM 1366.886719 1652240760.0768
MEM 1372.007812 1652240760.1772
MEM 1371.980469 1652240760.2776
MEM 1375.816406 1652240760.3781
MEM 1382.054688 1652240760.4788
MEM 1382.054688 1652240760.5792
MEM 1382.054688 1652240760.6796
MEM 1382.054688 1652240760.7801
MEM 1382.054688 1652240760.8805
MEM 1382.031250 1652240760.9809
MEM 1382.031250 1652240761.0812
MEM 1382.031250 1652240761.1817
MEM 1382.031250 1652240761.2820
MEM 1382.031250 1652240761.3824
MEM 1382.031250 1652240761.4829
MEM 1382.031250 1652240761.5832
MEM 1382.031250 1652240761.6836
MEM 1382.031250 1652240761.7840
MEM 1382.031250 1652240761.8844
MEM 1382.031250 1652240761.9848
MEM 1395.421875 1652240762.0852
MEM 1395.421875 1652240762.1857
MEM 1395.421875 1652240762.2877
MEM 1395.421875 1652240762.3881
MEM 1395.421875 1652240762.4885
MEM 1395.421875 1652240762.5889
MEM 1395.421875 1652240762.6893
MEM 1395.933594 1652240762.7897
MEM 1395.933594 1652240762.8900
MEM 1400.835938 1652240762.9904
MEM 1394.250000 1652240763.0907
MEM 1412.644531 1652240763.1910
MEM 1412.058594 1652240763.2914
MEM 1415.679688 1652240763.3917
MEM 1415.679688 1652240763.4921
MEM 1415.679688 1652240763.5925
MEM 1415.679688 1652240763.6928
MEM 1415.679688 1652240763.7931
MEM 1415.656250 1652240763.8935
MEM 1415.656250 1652240763.9938
MEM 1415.656250 1652240764.0942
MEM 1415.656250 1652240764.1945
MEM 1415.656250 1652240764.2950
MEM 1415.656250 1652240764.3953
MEM 1415.656250 1652240764.4957
MEM 1415.656250 1652240764.5961
MEM 1415.656250 1652240764.6965
MEM 1415.656250 1652240764.7968
MEM 1431.882812 1652240764.8972
MEM 1431.882812 1652240764.9976
MEM 1431.882812 1652240765.0987
MEM 1431.882812 1652240765.1991
MEM 1431.882812 1652240765.2995
MEM 1431.882812 1652240765.3999
MEM 1431.882812 1652240765.5002
MEM 1431.882812 1652240765.6006
MEM 1432.394531 1652240765.7010
MEM 1432.394531 1652240765.8014
MEM 1432.144531 1652240765.9018
MEM 1434.093750 1652240766.0022
MEM 1439.398438 1652240766.1026
MEM 1422.746094 1652240766.2037
MEM 1425.394531 1652240766.3041
MEM 1425.394531 1652240766.4045
MEM 1425.394531 1652240766.5048
MEM 1425.394531 1652240766.6053
MEM 1425.394531 1652240766.7057
MEM 1425.394531 1652240766.8061
MEM 1425.375000 1652240766.9065
MEM 1425.375000 1652240767.0070
MEM 1425.375000 1652240767.1074
MEM 1425.410156 1652240767.2078
MEM 1425.410156 1652240767.3081
MEM 1425.410156 1652240767.4085
MEM 1408.980469 1652240767.5089
MEM 1408.980469 1652240767.6093
MEM 1408.980469 1652240767.7097
MEM 1408.980469 1652240767.8102
MEM 1408.980469 1652240767.9106
MEM 1408.980469 1652240768.0110
MEM 1433.679688 1652240768.1114
MEM 1433.679688 1652240768.2119
MEM 1434.183594 1652240768.3123
MEM 1434.183594 1652240768.4126
MEM 1434.183594 1652240768.5130
MEM 1434.183594 1652240768.6135
MEM 1434.183594 1652240768.7139
MEM 1434.183594 1652240768.8143
MEM 1434.441406 1652240768.9147
MEM 1434.441406 1652240769.0151
MEM 1436.644531 1652240769.1154
MEM 1451.031250 1652240769.2158
MEM 1456.152344 1652240769.3162
MEM 1446.820312 1652240769.4174
MEM 1453.425781 1652240769.5178
MEM 1453.617188 1652240769.6182
MEM 1453.617188 1652240769.7186
MEM 1453.617188 1652240769.8189
MEM 1453.617188 1652240769.9193
MEM 1453.593750 1652240770.0197
MEM 1453.718750 1652240770.1201
MEM 1453.718750 1652240770.2205
MEM 1453.968750 1652240770.3209
MEM 1454.468750 1652240770.4213
MEM 1454.468750 1652240770.5216
MEM 1458.332031 1652240770.6220
MEM 1458.332031 1652240770.7224
MEM 1458.332031 1652240770.8227
MEM 1458.332031 1652240770.9231
MEM 1459.437500 1652240771.0235
MEM 1459.914062 1652240771.1312
MEM 1459.914062 1652240771.2315
MEM 1459.914062 1652240771.3318
MEM 1459.914062 1652240771.4321
MEM 1473.308594 1652240771.5324
