CMDLINE /usr/bin/python3 scripts/tSNE-RF-Rhizo.py
MEM 203.574219 1652242181.3604
MEM 203.574219 1652242181.4607
MEM 203.574219 1652242181.5611
MEM 203.574219 1652242181.6618
MEM 203.574219 1652242181.7621
MEM 203.574219 1652242181.8624
MEM 203.574219 1652242181.9627
MEM 203.574219 1652242182.0630
MEM 203.574219 1652242182.1633
MEM 203.574219 1652242182.2655
MEM 203.574219 1652242182.3659
MEM 203.574219 1652242182.4662
MEM 203.574219 1652242182.5669
MEM 203.574219 1652242182.6672
MEM 203.574219 1652242182.7675
MEM 203.574219 1652242182.8678
MEM 203.574219 1652242182.9681
MEM 203.574219 1652242183.0685
MEM 203.574219 1652242183.1696
MEM 203.574219 1652242183.2699
MEM 203.574219 1652242183.3702
MEM 203.574219 1652242183.4712
MEM 203.574219 1652242183.5715
MEM 203.574219 1652242183.6718
MEM 203.574219 1652242183.7740
MEM 203.574219 1652242183.8744
MEM 203.574219 1652242183.9766
MEM 203.574219 1652242184.0768
MEM 203.574219 1652242184.1771
MEM 203.574219 1652242184.2774
MEM 203.574219 1652242184.3794
MEM 203.574219 1652242184.4797
MEM 203.574219 1652242184.5801
MEM 203.574219 1652242184.6804
MEM 203.574219 1652242184.7807
MEM 203.574219 1652242184.8810
MEM 203.574219 1652242184.9831
MEM 203.574219 1652242185.0834
MEM 203.574219 1652242185.1856
MEM 203.574219 1652242185.2860
MEM 203.574219 1652242185.3878
