CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 194.437500 1652241616.1652
MEM 201.914062 1652241616.2656
MEM 201.914062 1652241616.3659
MEM 205.523438 1652241616.4663
MEM 205.523438 1652241616.5668
MEM 205.523438 1652241616.6672
MEM 205.523438 1652241616.7676
MEM 194.437500 1652241616.8680
MEM 194.437500 1652241616.9684
MEM 201.914062 1652241617.0688
MEM 205.523438 1652241617.1692
MEM 205.523438 1652241617.2695
MEM 205.523438 1652241617.3698
MEM 205.523438 1652241617.4701
MEM 205.523438 1652241617.5704
MEM 194.437500 1652241617.6708
MEM 194.437500 1652241617.7711
MEM 201.656250 1652241617.8714
MEM 201.656250 1652241617.9718
MEM 205.265625 1652241618.0722
MEM 205.265625 1652241618.1725
MEM 205.265625 1652241618.2728
MEM 194.437500 1652241618.3731
