CMDLINE /usr/bin/python3 scripts/PCA-RF-Rhizo.py
MEM 213.167969 1652242100.8593
MEM 213.167969 1652242100.9596
MEM 213.167969 1652242101.0599
MEM 213.167969 1652242101.1601
MEM 213.167969 1652242101.2604
MEM 213.167969 1652242101.3607
MEM 213.167969 1652242101.4610
MEM 213.167969 1652242101.5613
MEM 213.167969 1652242101.6616
MEM 213.167969 1652242101.7619
MEM 213.167969 1652242101.8625
MEM 213.167969 1652242101.9628
MEM 213.167969 1652242102.0631
MEM 213.167969 1652242102.1633
MEM 213.394531 1652242102.2636
MEM 213.394531 1652242102.3641
MEM 213.394531 1652242102.4644
MEM 213.691406 1652242102.5658
MEM 213.691406 1652242102.6662
MEM 213.691406 1652242102.7666
MEM 213.691406 1652242102.8670
MEM 173.269531 1652242102.9674
MEM 172.269531 1652242103.0678
